ENGLISH,ARABIC,FRENCH,CATEGORY
Beta cyclodextrin,بيتا سيكلودكسترين,Bêta cyclodextrine,
Betanin,بيتانين,Bétanine,
Betsa betsa,مشروب البيتسا بيتسا,Betsa Betsa,
BHA,حمض هيدروكسي,Hydroxyanisole butylé,
Bhakri,خبز هندي,Bhakri,
Bhatoora,خبز هندي مقلي,Bhatura,
Bhatura,خبز هندي مقلي,Bhatura,
BHT ,بوتيل هيدروكسي تولوين,Hydroxytoluène butylé,
Biangbiang Noodles,نودلز بيانغ بيانغ,Nouilles biáng biáng,
Bible Leaf,أعشاب وتوابل,Menthe coq,
Bible Leaf Oil,زيت أعشاب وتوابل,Huile de menthe coq,
Bicarbonate,بيكربونات,Bicarbonate,
Bicarbonate of Soda,بيكربونات الصودا,Bicarbonate de soda,
Bigeye Tuna,تونة كبيرة العين,Thon obèse,
Bigoli,باستا بيغولي,Bigoli,
Bilberry,عنبية,Myrtille,
Biotin,البيوتين,Biotine,
Biphenyl,ثنائي الفينيل,Biphényle,
Birch,التامول,Bouleau,
Birch Beer,شعير التامول,Bière de bouleau,
Bird's Custard Powder,"مسحوق كاسترد ""بيرد""",Poudre Bird's custard,
Biscuit,بسكوت,Biscuit,
Bison,بيسون,Bison,
Bison Grass,عشب البيسون,Herbe de bison,
Bison Meat,لحم البيسون,Viande de bison,
Bisphenol A,ثنائي الفينول أ,Bisphénol A,
Bitter Ale,بيرة مرة,Bière amère,
Bitter Lemon,ليمون مر,Citron amer,
Bitter Melon,بطيخ مر,Melon amer,
Biwa Trout,"سلمون بيوا مرقط
",Truite biwa,
Bixin,بيكسين,Bixine,
Blaand,مشروب بلاند,Blaand,
Black 7984,صبغة سوداء,Noir 7984,
Black Beans,فاصوليا سوداء,Haricots noirs,
Black Beer,مشروب شعير أسود,Bière noire,
Black Bottom Pie,فطيرة بلاك بوتوم,Tarte inférieure noire,
Black Bread,خبز أسود,Pain noir,
Black Cardamom,هيل أسود,Cardamome noire,
Black Cod,سمك القد الأسود,Morue noire,
Black Cumin,كمون أسود,Cumin noir,
Black Forest Gateau,كيك بلاك فوريست,Gâteau Forêt Noire,
Black Forest Ham,لحم خنزير بلاك فورست,Jambon de la Forêt Noire,
Black Haw,رباطية خوخية الورق أو أفلوس خوخي الورق,Aubépine,
Black Haw Bark,لحاء رباطية خوخية الورق أو أفلوس خوخي الورق,Ecorce d'aubépine,
Black Haw Bark Extract,خلاصة رباطية خوخية الورق أو خلاصة أفلوس خوخي الورق,Extrait d'écorce d'aubépine,
Black Limes,الليمون الأسود,Lime séchée,
Black Magic,السحر الأسود,Magie noire,
Black Mustard,خردل أسود,Moutarde noire,
Black Onyx,العقيق الأسود,Onyx noir,
Black Pepper,فلفل أسود,Poivre,
Black Plum,البرقوق الأسود,Prune noire,
Black PN,صبغة سوداء,Noir brillant BN,
Black Pudding,بودينغ أسود,Boudin noir,
Black Salt,ملح أسود,Sel noir,
Black Sapote,خرمال أسود,Sapote noire,
Black Sea Bass,سمك القاروص الأسود,Bar noir,
Black Seed Oil,زيت حبة البركة,Huile de graine noire,
Black Tea,شاي أسود,Thé noir,
Black Tiger Shrimp,جمبري أسود عملاق,Crevette tigrée noire,
Black eyed Peas,لوبيا,Cornille,
Blackberry,توت أسود,Mûre,
Blackberry and Apple Pie,فطيرة التفاح والتوت الأسود,Tarte aux mûres et pommes,
Blackberry Cake,كيك التوت الأسود,Gâteau aux mûres,
Blackberry Pie,فطيرة التوت الأسود,Tarte aux mûres,
Blackcurrant,كشمش أسود,Cassis,
Blackcurrant Seed Oil,زيت بذرة الكشمش الأسود,Huile de pépins de cassis,
Blackfin Tuna,سمكة التونة ذات الزعنفة السوداء,Thon à nageoires noires,
Blanched,"مُبيض
",Blanchie,
Blancmange,مهلبية,Blanc manger,
BLE,عامل مبيض,Décolorants,
Bleached Flour,دقيق أبيض,Farine blanchie,
Bleached Starch,نشاء أبيض,Amidon blanchi,
Bleached wheat flour,دقيق قمح أبيض,Décolorants,
Bleaching Agents ,عامل مبيض,Décolorants,
Blend,مزج,Mélange,
Blood Orange,برتقال أحمر برتقال ماوردي,Orange sanguine,
Blowfish,السمكة المنتفخة,Diodontidae,
Blue Cheese,جبنة زرقاء,Fromage à pâte persillée,
Blue Cheshire,جبنة شيشاير الزرقاء,Cheshire bleu,
Blue Crab,سلطعون أزرق,Crabe bleu,
Blue Grenadier,سمكة جرينادير الزرقاء,Grenadier bleu,
Blue Mackerel,سمكة الإسقمري الزرقاء,Maquereau bleu,
Blue Mussel,بلح البحر الأزرق,Moule bleue,
Blue Stilton,جبنة ستيلتون الزرقاء,Stilton bleu,
Blueberry,التوت البري,Myrtille,
Blueberry Pie,فطيرة التوت البري,Tarte aux myrtilles,
Bluefin Tuna,سمكة التونة ذات الزعنفة الزرقاء,Thon rouge,
Bluefish,سمك القنبر السمكة الزرقاء,Poisson bleu,
Bluegill,الخيشوم,Crapet arlequin,
Bock,شراب شعير بوك,Bock,
BodyArmor,درع,BodyArmor,
Bodying Agent,عامل مكثف,Agent de corps,
Boiled,مسلوق مغلي,Bouilli,
Bok Choy,ملفوف صيني,Bok Choy,
Bolivian Coriander,كزبرة بوليفية,Coriandre de Bolivie,
Bolognese Sauce,صلصة البولونيز,Sauce bolognaise,
Bombay Duck,بط بومباي,Canard de Bombay,
Bombe Glacee,حلى بومبيه,Bombe glacée,
Bone Phosphate,فوسفات العظام,Phosphate osseux,
Bonito,سمك بونيتو,Sardini,
Bonito Flakes,قشر سمك البونيتو,Katsuobushi,
Borage,زهور لسان الثور,Bourrache,
Borage Seed Oil,زيت بذرة زهور لسان الثور,Huile de graines de bourrache,
Borax,بودرة البوراكس,Borax,
Boric Acid,حمض البوريك,Acide borique,
Borlotti Bean,فاصوليا بورلوتي,Haricot de canneberge,
Boston Cream Pie,فطيرة بوسطن كريم,Gâteau à la crème de Boston,
Bouillon Cube,مكعب مرقة,Bouillon de cube,
Boule Bread,خبز بول الفرنسي,Boule,
Bounty,باونتي شوكولا باونتي,Bounty,
Bourbon,مشروب البوربون,Bourbon,
Bourbon Whiskey,ويسكي بوربون,Whisky Bourbon,
Boysenberry,توت بويسينبيري,Mûre de Boysen,
Boza,كحول بوزا,Boza,
Bozo,كحول بوزو,Bozo,
BPA,بيسفينول A,Bisphénol A,
Bran,نخالة,Son de blé,
Brandy,مشروب براندي,Brandy,
Brandy Snaps,براندي سنابس,Brandy snaps,
Brazil Wax,شمع برازيلي,Cire de carnauba,
Bread,خبز,Pain,
Bread and Butter Pudding,خبز وزبدة,Pudding au pain et beurre,
Bread Flour,دقيق الخبز,Farine de pain,
Bread Pudding,حشوة الخبز,Pudding au pain,
Bread Roll,قطعة خبز,Petit pain,
Bread Sauce,صلصة خبز,Sauce au pain,
Breakfast Muffin,مفنية صباحية,Muffin anglais,
Breakfast Tea,شاي فطور,English breakfast,
Brem,سمك الأبراميس,Brem,
Brem Cake,بريم,Brem cake,
Bresaola,كيك بريم,Bresaola,
Bresi,لجم مجفف,Brési,
Brie,لجم مجفف,Brie,
Brill,جبنة بري,Barbue,
Brilliant Black A,لون أسود لامع أ,Noir brillant A,
Brilliant Black BN,لون أسود لامع BN,Noir brillant BN,
Brilliant Black BN Black PN,لون أسود لامع BN أسود PN,Noir brillant BN Noir PN,
Brilliant Black PN,لون أسود لامع PN,Noir brillant PN,
Brilliant Blue,لون أزرق لامع,Bleu brillant,
BrillIant Blue FCF,لون أزرق لامع FCF,Bleu brillant FCF,
Brilliant Scarlet 4R,لون قرمزي لامع 4R,Ponceau 4R,
Brinjal,باذنجان,Aubergine,
Brioche,خبز بريوش,Brioche,
Broad Beans,الفول,Fèves,
Broccoflower,قرنبيط أخضر,Chou fleur vert,
Broccoli,بروكلي,Brocoli,
Bromated Whole Wheat Flour,دقيق القمح الكامل معزز بالبوتاسيوم,Farine de blé entier bromée,
Brominated Vegetable Oil,زيت خضار معزز بالبوتاسيوم,Huile végétale bromée,
Brook Trout,سمك السالمون المرقط,Omble de fontaine,
Broth Cube,مكعب المرق,Cube de bouillon,
Brown Ale,شراب شعير بني,Bière brune,
Brown Bread,خبز اسمر,Pain complet,
Brown FK,لون بني FK,Brun FK,
Brown HT,لون بني HT,Brun HT,
Brown rice crisp,مقرمشات الأرز البني,Riz brun croustillant,
Brown Sauce,صلصة بنية اللون,Brown sauce,
Brown Sugar,سكر بني,Sucre brun,
Brown Trout,سمكة السالمون المرقطة البنية,Truite brune,
Brussel Sprouts,براعم بروكسل,Choux de Bruxelles,
Brussels Sprouts,براعم بروكسل,Choux de Bruxelles,
BUA,,Agent de charge,
Bucatini,باستا بوكاتيني,Bucatini,
Buckwheat,الحنطة السوداء,Sarrasin,
Buckwheat flour,طحين الحنطة السوداء,Farine de sarrasin,
Buckwheat Whiskey,ويسكي الحنطة السوداء,Whisky de sarrasin,
Buddha's Hand,ليمون يد بوذا,Main de Bouddha,
Buffalo,جاموس,Buffle,
Buffalo Cod,"سمك القد
",Morue de buffle,
Buffalo Meat,لحم الجاموس,Viande de bison,
Buko Pie,فطيرة جوز الهند بالكاسترد,Buko pie,
Bulgur,البرغل,Boulgour,
Bulgur Wheat,برغل القمح,Boulgour,
Bulking Agents ,,Agents de charge,
Bullet Tuna,تونا بوليت,Bonitou,
Bun,خبز,Petit pain,
Bun Noodles,نودلز الأرز,Nouilles Bun,
Burdock,نبات الأرقطيون,Bardane,
Burdock Flower,زهرة الأرقطيون,Fleur de bardane,
Burdock Leaves,أوراق الأرقطيون,Feuilles de bardane,
Burdock Oil,زيت الأرقطيون,Huile de bardane,
Burdock Plant,نبات الأرقطيون,Plant de bardane,
Burdock Root,جذر الأرقطيون,Racine de bardane,
Burdock Root Tea,جذر شاي الأرقطيون,Thé à la racine de bardane,
Burdock Seeds,بذور الأرقطيون,Graines de bardane,
Burn,حرق,Burn,
Burnet,بيرنت,Burnet,
Burnet Garden,بيرنت ، حديقة,Jardin de burnet,
Burnet Salad,بورنت ، سلطة,Salad de burnet,
Burnet Small,بيرنت ، صغير,Petit burnet,
Burukutu,مشروب بوروكوتو,Burukutu,
Bush Tomato,طماطم كرزية,Tomate de brousse,
Bush Tomato Relish,طماطم كرزية مخللة,Goût tomate de brousse,
Busiate,باستا بوسياتي,Busiate,
Busiati,باستا بوسياتي,Busiati,
Butane,البوتان,Butane,
Butter,زبدة,Beurre,
Butter Bean,زبدة البازلاء,Haricot beurre,
Butter Cake,كعكة الزبدة,Gâteau au beurre,
Butter Fat,دهن,Graisse de beurre,
Butter Oil,زيت الزبدة,Huile de beurre,
Butter Pie,فطيرة الزبدة,Tarte au beurre,
Butter Clarified,زبدة، نقية,Beurre clarifié,
Butterfat,زبدة الحليب,Matière grasse,
Butterfish,سمكة الزبيدي,Poisson beurre,
Butterfly Kingfish,سمكة الزبيدي الملك,Martin papillon,
Buttermilk,زبدة الحليب,Babeurre,
Buttermilk Dried,زبدة الحليب، مجففة,Babeurre séché,
Butternut Squash,قرع,Courge butternut,
Butteroil,سمنة,Huile de beurre,
Butyl Acetate,,Acétate de butyle,
Butyl Butyryllactate,,Butyryllactate de butyle,
Butyl Heptanoate,,Heptanoate de butyle,
Butylated Hydroxyanisole,,Hydroxyanisole butylé,
Butylated hydroxyanisole BHA,,Hydroxyanisole butylé BHA,
Butylated Hydroxytoluene,,Hydroxytoluène butylé,
Butylated hydroxytoluene BHT,,Hydroxytoluène butylé BHT,
Butylhydroquinone,,Butylhydroquinone,
Butylparaben,بارابين البوتيل,Butylparabène,
Butyric Acid,حمض البيوتيريك,Acide butyrique,
Cabanossi,نقانق كابانوسي,Cabanossi,
Cabbage,الكرنب,Chou,
Cabecou,جبنة ماعز كوبيكو,Cabecou,
Cabinet Pudding,بودينغ انجليزي,Pudding du chancelier,
Cacao,كاكلو,Cacao,
Cacao bean,حبوب الكاكاو,Fève de cacao,
Cacao Butter,زبدة الكاكاو,Beurre de cacao,
Cacao nibs,قطع الكاكاو,Noix de cacao,
Cacao Shell,قشرة الكاكاو,Coquille de cacao,
Caccavelle,باستا كاتشافيل,Caccavelle,
Cachaca,مشروب كاشاسا,Cachaca,
Cachou Extract,مستخلص الكاتشو,Extrait de cachou,
Cactus Root Extract,مستخلص الجذر الصبار,Extrait de racine de cactus,
Cadbury Celebrations,احتفالات كادبوري,Célébrations de Cadbury,
Cadbury Dairy Milk,كادبوري,Lait laitier de Cadbury,
Cadbury Fruit & Nut,كادبوري بالفاكهة والجوز,Fruits et noix de Cadbury,
Cadbury Fruit and Nut,كادبوري بالفاكهة والجوز,Fruits et noix de Cadbury,
Cadbury Whole Nut,كادبوري بالجوز,Noix de Cadbury,
Cadinene,جبنة كادينين,Cadinène,
Caerphilly Cheese,جبنة كرفيلي,Fromage Caerphilly,
Caffeine,كافيين,Caféine,
Cajeput Oil,زيت كاجيبوت,Huile de cajeput,
Cake,كيك,Gâteau,
Cake Flour,طحين الكيك,Farine de gâteau,
Calabrese,كالابريزي,Calabrese,
Calamarata,باستا كالاماراتا,Calamarata,
Calamus,نبات الوج,Calamus,
Calciferol,فيتامين د٢,Calciférol,
Calcium,كالسيوم,Calcium,
Calcium Citrate,سترات الكالسيوم,Citrate de calcium,
Calcium Ca,الكالسيوم,Calcium Ca,
Calcium 5' ribonucleotides,الكالسيوم 5' ريبونوكليوتيدات,5' ribonucléotides de calcium,
Calcium acetate,أسيتات الكالسيوم,Acétate de calcium,
Calcium Acid Phosphate,حمض كالسيوم الفوسفات,Phosphate acide de calcium,
Calcium alginate,ألجينات الكالسيوم,Alginate de calcium,
Calcium Ascorbate,أسكوربات الكالسيوم,Ascorbate de calcium,
Calcium Benzoate,بنزوات الكالسيوم,Benzoate de calcium,
Calcium Biphosphate,ثنائي فوسفات الكالسيوم,Biphosphate de calcium,
Calcium Bisulfite,بيسلفيت الكالسيوم,Bisulfite de Calcium,
Calcium Bisulphite,بيسلفيت الكالسيوم,Bisulfite de Calcium,
Calcium Bromate,بروميت الكالسيوم,Bromate de calcium,
Calcium Carbonate,كربونات الكالسيوم,Carbonate de calcium,
Calcium Carrageenan,,Carraghénane de calcium,
Calcium Caseinate,كازينات الكالسيوم,Caséinate de calcium,
Calcium chloride,كلوريد الكالسيوم,Chlorure de calcium,
Calcium citrates,سترات الكالسيوم,Citrate de calcium,
Calcium D Pantothenic Acid,حمض الكالسيوم بانتوثينيك,Calcium D acide pantothénique,
Calcium Diacetate,ثنائي الأسيتات الكالسيوم,Diacétate de calcium,
Calcium Diglutamate,,Diglutamate de calcium,
Calcium Disodium EDTA,,EDTA de calcium disodique,
Calcium disodium ethylene diaminetetra acetate Calcium disodium EDTA,,Tétra acétate d'éthylène diamine diamine disodique EDTA calcium disodique,
Calcium Ferrocyanide,فيروسيانيد الكالسيوم,Ferrocyanure de calcium,
Calcium ferrocyanide,فيرو سيانيد الكالسيوم,Ferrocyanure de calcium,
Calcium Formate,فورمات الكالسيوم,Formiate De Calcium,
Calcium Fumarate,فومارات الكالسيوم,Fumarate de Calcium,
Calcium gluconate,غلوكونات الكالسيوم,Gluconate de Calcium,
Calcium Glycerophosphate,كالسيوم فوسفات الجلسرين,Glycérophosphate de calcium,
Calcium Guanylate,كالسيوم جوانييلات,Guanylate de calcium,
Calcium Hydrate,هيدرات الكالسيوم,Hydrate de calcium,
Calcium Hydrogen Sulfite,كبريتيت هيدروجين الكالسيوم,Calcium Hydrogen Sulfite,
Calcium Hydrogen Sulphite,كبريتات هيدروجين الكالسيوم,Calcium Hydrogen Sulphite,
Calcium hydrogen sulphite Calcium hydrogen sulfite,كبريتيت هيدروجين الكالسيوم كبريتيت هيدروجين الكالسيوم,Calcium Hydrogen Sulphite,
Calcium hydroxide,هيدروكسيد الكالسيوم,Hydroxyde de calcium,
Calcium Inosinate,الكالسيوم إينوزينات,Inosinate de calcium,
Calcium inosinate,,Inosinate de calcium,
Calcium Iodate,يودات الكالسيوم,Iodate de calcium,
Calcium lactate,لاكتات الكالسيوم,Lactate de calcium,
Calcium Lactobionate,لاكتوبيونات الكالسيوم,Lactobionate de calcium,
Calcium Malate,مالات الكالسيوم,Malate de calcium,
Calcium malates,ذكور الكالسيوم,Malates de calcium,
Calcium Oxide,أكسيد الكالسيوم,Oxyde de calcium,
Calcium Pantothenate,بانتوثينات الكالسيوم,Pantothenate de calcium,
Calcium Pectinate,البكتين الكالسيوم,Pectinate de calcium,
Calcium Peroxide,بيروكسيد الكالسيوم,Peroxyde de calcium,
Calcium Phosphate,فوسفات الكالسيوم,Phosphate de calcium,
Calcium Phosphate Monobasic,,Phosphate de calcium monobasique,
Calcium Phosphate Tribasic,,Phosphate de calcium tribasique,
Calcium Phosphate Dibasic Anhydrous,,Phosphate de calcium dibasique anhydre,
Calcium Phosphate Dibasic Hydrous,,Phosphate de calcium,
Calcium phosphates,فوسفات الكالسيوم,Phosphate de calcium hydraté dibasique,
Calcium Polyphosphate,بولي فوسفات الكالسيوم,Polyphosphate de calcium,
